,vignette,membership,space,location1,location2,content,access,distribution,type
627,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. . The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,,Students not on the team,contract
628,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
629,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
630,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
631,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
632,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
633,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
634,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
635,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
636,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,,Other members of the team,contract
637,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,,Other members of the team including the coach,contract
638,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,,Other members of the team including the team captains,contract
639,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,,Students not on the team,contract
640,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
641,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
642,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
643,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
644,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
645,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
646,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
647,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
648,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,,Other members of the team,contract
649,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,,Other members of the team including the coach,contract
650,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,,Other members of the team including the team captains,contract
651,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,,Students not on the team,contract
652,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
653,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
654,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
655,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
656,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
657,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
658,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
659,"Ryan is a Senior college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
660,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,,Other members of the team,contract
661,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,,Other members of the team including the coach,contract
662,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,,Other members of the team including the team captains,contract
663,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,,Students not on the team,contract
664,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
665,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
666,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
667,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
668,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
669,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
670,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
671,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
672,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,,Other members of the team,contract
673,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,,Other members of the team including the coach,contract
674,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,,Other members of the team including the team captains,contract
675,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,,Students not on the team,contract
676,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
677,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
678,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
679,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
680,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
681,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
682,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
683,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
684,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about A date that went horribly wrong. . The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the cafeteria,heard,A date that went horribly wrong,,Other members of the team,contract
685,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about A date that went horribly wrong. . The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the cafeteria,heard,A date that went horribly wrong,,Other members of the team including the coach,contract
686,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about A date that went horribly wrong. . The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the cafeteria,heard,A date that went horribly wrong,,Other members of the team including the team captains,contract
687,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about A date that went horribly wrong. . The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the cafeteria,heard,A date that went horribly wrong,,Students not on the team,contract
688,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the cafeteria,heard,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
689,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the cafeteria,heard,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
690,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the cafeteria,heard,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
691,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the cafeteria,heard,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
692,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the cafeteria,heard,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
693,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the cafeteria,heard,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
694,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the cafeteria,heard,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
695,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the cafeteria,heard,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
696,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Problems with his mom,,Other members of the team,contract
697,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the cafeteria,heard,Problems with his mom,,Other members of the team including the coach,contract
698,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the cafeteria,heard,Problems with his mom,,Other members of the team including the team captains,contract
699,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Problems with his mom,,Students not on the team,contract
700,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
701,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the cafeteria,heard,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
702,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the cafeteria,heard,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
703,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
704,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
705,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",Senior,On a varsity athletic team,While in the cafeteria,heard,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
706,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",Senior,On a varsity athletic team,While in the cafeteria,heard,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
707,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",Senior,On a varsity athletic team,While in the cafeteria,heard,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
708,"Ryan is a Senior college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Other members of the team",Senior,On a varsity athletic team,While in the cafeteria,heard,An embarrassing medical condition,,Other members of the team,contract
